learning_rate,min_child_samples,num_leaves,mean_AUC,mean_Top1,std_Top1
0.1,20,63,0.9335,0.7453,0.0205
0.1,10,63,0.9326,0.7433,0.0198
0.05,10,63,0.9312,0.7417,0.0174
0.05,20,63,0.9301,0.7414,0.0178
0.1,20,31,0.9329,0.7406,0.0197
0.1,10,31,0.9287,0.74,0.019
0.05,20,31,0.9292,0.7393,0.0186
0.05,10,31,0.9293,0.7376,0.0161
